"","PERMVIT","MONTH","ROUTE","SP_JUR","HARM_EV","RELJCT2","TYP_INT","WRK_ZONE","REL_ROAD","LGT_COND","WEATHER","FATALS","STATE","A_RU","A_INTER","A_TOD","A_DOW","A_CT","A_MC","A_SPCRA","A_PED","A_ROLL","A_POLPUR","A_POSBAC","A_D15_20","A_D65PLS","A_D21_24","A_HR","A_DIST","A_DROWSY","drunkDr"
"108",3,3,3,0,12,1,1,0,1,1,1,1,1,2,2,1,2,2,1,1,2,2,1,3,2,2,1,2,2,2,0
"109",1,3,4,0,34,1,1,0,4,1,10,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0
"110",3,3,4,0,12,2,2,0,1,1,1,1,1,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,0
"111",1,3,6,0,8,3,2,0,1,1,1,1,1,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,0
"112",4,3,4,0,38,1,1,0,5,1,1,2,1,1,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,0
"113",2,3,3,0,12,1,1,0,1,1,1,1,1,1,2,1,1,2,2,2,2,1,2,3,2,2,2,2,2,2,0
"114",5,3,3,0,12,2,2,0,1,6,10,2,1,1,2,2,2,2,2,2,2,2,2,3,2,1,1,2,2,2,0
"115",1,3,4,0,8,1,1,0,1,2,1,1,1,1,2,2,2,1,2,1,1,2,2,3,2,2,2,1,2,2,0
"116",3,3,6,0,12,2,3,0,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,3,2,2,1,2,2,2,0
"117",3,3,2,0,12,1,1,0,1,1,10,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0
"118",2,3,4,0,8,1,1,0,1,2,1,1,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,0
"119",3,3,6,0,12,2,2,0,1,3,1,1,1,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,1,0
"120",2,3,4,0,12,8,1,0,1,1,10,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0
"121",2,3,2,0,12,2,3,0,1,2,10,1,1,1,2,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,0
"122",3,3,4,0,12,1,1,0,1,2,10,1,1,1,2,2,2,3,2,1,2,2,2,1,2,2,2,2,2,2,1
"123",2,3,4,0,42,1,1,0,4,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,1
"124",2,3,6,0,8,1,1,0,1,5,1,1,1,2,2,2,1,1,2,2,1,2,2,2,2,2,1,2,2,2,0
"125",4,4,3,0,12,1,1,0,1,2,1,1,1,2,2,2,2,3,2,2,2,1,2,3,1,1,2,2,2,2,0
